"Postcode_Area","Population","Registered_Patients","Registered_Practitioners","GP_Surgeries"
"AL",266475,287130,411,21
"B",2026571,2242097,2998,270
"BA",466274,485947,749,45
"BB",516383,553354,584,68
"BD",605269,642254,937,65
"BH",578617,628289,1005,53
"BL",403601,450176,592,63
"BN",838723,915394,1285,79
"BR",319234,365823,525,43
"BS",1033005,1124497,1951,87
"CA",319675,328698,514,35
"CB",463822,539916,895,48
"CH",676973,549873,877,71
"CM",707666,739898,951,70
"CO",448089,476483,590,43
"CR",439490,458477,660,51
"CT",501887,542001,676,48
"CV",899181,975604,1228,109
"CW",342254,367057,465,36
"DA",469214,489040,528,42
"DE",774229,851012,1217,84
"DH",320953,335588,507,36
"DL",363985,371423,638,43
"DN",768723,807086,1027,94
"DT",221019,245975,379,24
"DY",429559,460251,617,53
"E",1117915,1347640,1671,145
"EC",37264,38297,67,4
"EN",365585,301266,412,31
"EX",599921,626048,1200,64
"FY",279731,309632,356,34
"GL",653953,678433,1153,73
"GU",767867,810008,1288,72
"HA",531124,652228,765,79
"HD",266048,282203,379,44
"HG",141129,150088,264,15
"HP",533352,558201,827,48
"HR",179733,185833,311,17
"HU",455808,491980,668,48
"HX",163450,176923,201,15
"IG",378322,408881,400,50
"IP",629123,640351,939,60
"KT",561706,631341,1014,61
"L",892424,973936,1391,152
"LA",331902,353573,540,32
"LE",1088272,1176848,1615,133
"LN",318262,321118,426,39
"LS",835922,962521,1385,96
"LU",373762,418751,443,41
"M",1271054,1417767,1988,180
"ME",664160,686498,856,77
"MK",591394,614004,724,51
"N",886396,1170814,1484,126
"NE",1189862,1284124,2176,149
"NG",1222052,1284993,1767,149
"NN",742601,798050,1062,68
"NR",766553,808123,1308,73
"NW",574891,695177,948,77
"OL",493584,523048,728,78
"OX",680610,730414,1167,61
"PE",972260,1048738,1340,88
"PL",566418,581137,881,52
"PO",854784,900589,1185,68
"PR",550366,566861,652,66
"RG",860553,925196,1249,70
"RH",583653,613102,939,52
"RM",583272,628162,643,88
"S",1389622,1480406,2392,172
"SE",1075088,1232348,1760,120
"SG",437311,437799,586,37
"SK",624922,666230,1030,78
"SL",405122,445064,645,43
"SM",237911,244589,325,27
"SN",503724,518216,829,49
"SO",699993,731475,1134,58
"SP",258089,231531,405,21
"SR",245199,240744,391,33
"SS",545242,566841,673,76
"ST",661965,698040,946,85
"SW",901325,1308697,1841,121
"SY",350587,240700,356,29
"TA",350087,363850,572,40
"TD",18022,16180,35,2
"TF",236282,248113,285,19
"TN",713871,742070,1084,77
"TQ",299472,313101,520,30
"TR",319547,346228,646,33
"TS",613960,669905,960,77
"TW",542561,585446,677,70
"UB",416431,488722,451,70
"W",531401,705451,902,105
"WA",642982,684651,902,89
"WC",30668,117762,177,11
"WD",282046,320399,432,26
"WF",547784,564413,755,62
"WN",316899,337315,427,49
"WR",312662,322955,483,32
"WS",472232,492726,619,77
"WV",417097,428364,548,58
"YO",582897,599268,949,52
